                                                                                                                                                                                                                                                                                                                                                                name,slug,category,price,subtitle,description,details,sensation,image_url,size,size_fl_oz,code,usage,ingredients,tips
Premium Relaxing,premium-relaxing,Lubricantes,16.4,Gel Lubrificante Anale Con Jojoba E Camomilla,"Lubrificante personale a base acquosa con estratti di jojoba ad alta concentrazione che rilassano e rendono la pelle morbida e setosa. Ha proprietà lenitive e riparatrici, con un effetto positivo sulle mucose anali sensibili, mantenendo la pelle morbida e lubrificata.",Senza parabeni | Senza profumo | Senza coloranti,Rilassante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,130 ml,4.4 fl oz,LUB01,,,
Supreme Extra Time,supreme-extra-time,Lubricantes,16.4,Gel Lubrificante Ritardante Con Effetto Freddo Per Relazioni Più Lunghe,"L'unico lubrificante anale con effetto calore. Intensity crea sulla pelle una sensazione di calore che aumenta immediatamente la sensibilità, intensificando le tue sensazioni.",Senza parabeni | Senza profumo | Senza coloranti,Freddo,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,130 ml,4.4 fl oz,LUB03,,,
Intensity Hot Pleasure,intensity-hot-pleasure,Lubricantes,19.2,,"L'unico lubrificante anale con effetto calore. Intensity crea sulla pelle una sensazione di calore che aumenta immediatamente la sensibilità, intensificando le tue sensazioni.",Senza parabeni | Senza profumo | Senza coloranti,Calore,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,130 ml,4.4 fl oz,LUB02,,,
Ibiza,ibiza,Fragancias,49.6,Aphrodisiac Eau Detoilette,"Una fragranza unisex, sensuale e vibrante. Come una brezza marina carica di desiderio, risveglia i sensi con una freschezza agrumata e un cuore morbido che evolve in un fondo caldo e irresistibile. A unisex, sensual, and vibrant fragrance. Like a sea breeze charged with desire, it awakens the senses with citrusy freshness and a soft heart that flows into a warm, addictive base. Designed to seduce—no rules, no limits, no labels. Creata per sedurre, senza regole né generi.","Note di Testa: fiore di tè dolce e lime Note di Cuore: ambra grigia, iris e note terrose Note di Fondo: cuoio, iris e vaniglia.",Vibrante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,IBZ,,,
Bali Sunset Stripped,bali-sunset-stripped,Fragancias,53.6,Aphrodisiac Eau Detoilette,"Una fragranza femminile che gioca con i contrasti: note floreali e dolci si intrecciano in una tensione sensuale, attraversata da una vibrazione salata che risveglia e cattura i sensi.",Nota di testa: accordo salato Nota di cuore: gelsomino Nota di fondo: meringa,Sensuale,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,BSS,,,
Fucking Fabulous,fucking-fabulous,Fragancias,42.2,Aphrodisiac Eau Detoilette,"Una fragranza maschile dal carattere fresco e sofisticato. Le note agrumate donano energia e vitalità, mentre i legni nobili conferiscono profondità ed eleganza.","Note di testa: pompelmo, lime, menta e pepe rosa Note di cuore: zenzero, vetiver e gelsomino Note di fondo: incenso di olibano e legno di cedro.",Energico,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,FBLS,,,
Very Sexy,very-sexy,Fragancias,29.2,Aphrodisiac Eau Detoilette,"Questo profumo non si indossa, si conquista. Pensato per la donna que non chiede permesso, que trasforma gli sguardi in desideri e i momenti in ricordi.Non è solo un profumo. È una dichiarazione d'intenti.","Note di Testa: mandorla, caffè, bergamotto e limone. Note di Cuore: tuberosa, gelsomino, fiore d'arancio, iris e rosa bulgara. Note di Fondo: cacao, vaniglia e cannella.",Provocante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,50 ml,"1,7",PLS,,,
Petit Mort,petit-mort,Fragancias,29.2,Aphrodisiac Eau Detoilette,"È una fragranza floreale e legnosa, con un aroma allegro, giovanile, fresco e puro que trasmette un'indescrivibile sensazione di libertà.","Note di Testa: mela, mandarino e magnolia. Note di Cuore: ribes bianco, peonia e gelsomino. Note di Fondo: muschio e Amberwood.",Libero,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,50 ml,"1,7",PM03,,,
Itfemme,itfemme,Fragancias,32.7,Aphrodisiac Eau Detoilette,"Il calore narcotico della vaniglia libera il suo istinto carnale. Un aroma orientale-floreale, provocante e selvaggio, que cattura, accelera ed esalta i sensi. Un risultato magnetico.",Note di Testa: Ylang-Ylang e vaniglia Note di Cuore: Legno di sandalo Note di Fondo: Popcorn,Selvaggio,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,60 ml,2 fl oz,IT01,,,
Itfemme Florale,itfemme-florale,Fragancias,32.7,Aphrodisiac Eau Detoilette,"Immergiti in una tentazione irresistibile con questa fragranza provocante e seducente, dal contrasto audace e affascinante. È un profumo creato per chi non passa inosservata","Note di Testa: bergamotto, agrumi e pera. Note di Cuore: gelsomino, ylang ylang e legno di palissandro. Note di Fondo: vaniglia, fava tonka e legno di cedro.",Provocante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,60 ml,2 fl oz,IT02,,,
